Original  Reconstructed
-0.35   -0.06  
0.03    0.12   
-0.20   -0.01  
-0.18   -0.18  
-0.66   -0.45  
-0.81   -0.60  
-0.46   -0.65  
-1.27   -1.24  
0.03    -0.88  
-0.10   -0.33  
-0.03   -0.57  
-0.39   -0.15  
-0.53   -0.60  
-0.42   -0.88  
-1.41   -1.30  
-2.44   -2.13  
-0.87   -0.38  
0.03    0.29   
-0.97   -0.96  
-0.58   -0.52  
-0.37   -0.09  
0.05    0.09   
-0.06   0.30   
0.45    0.77   
0.39    0.48   
-1.15   -1.15  
0.90    0.72   
0.52    0.44   
0.27    0.65   
0.44    0.59   
0.22    0.40   
0.38    0.77   
0.45    0.74   
0.46    0.56   
-0.53   -0.53  
0.62    0.51   
0.79    0.69   
0.48    0.65   
0.03    0.39   
0.26    0.35   
0.20    0.37   
0.25    0.37   
0.29    0.33   
0.40    0.89   
0.35    0.47   
0.20    0.52   
0.15    0.34   
0.45    0.44   
0.26    0.14   
0.54    0.48   
-0.09   0.21   
0.26    -0.01  
0.33    0.33   
0.23    0.56   
