Original  Reconstructed
-0.35   -0.14  
0.03    0.16   
-0.20   -0.00  
-0.18   -0.08  
-0.66   -0.38  
-0.81   -0.59  
-0.46   -0.76  
-1.27   -1.29  
0.03    -0.83  
-0.10   -0.40  
-0.03   -0.60  
-0.39   -0.09  
-0.53   -0.55  
-0.42   -1.09  
-1.41   -1.50  
-2.44   -2.04  
-0.87   -0.54  
0.03    0.22   
-0.97   -0.72  
-0.58   -0.57  
-0.37   -0.18  
0.05    0.00   
-0.06   0.20   
0.45    0.87   
0.39    0.39   
-1.15   -1.16  
0.90    0.73   
0.52    0.43   
0.27    0.74   
0.44    0.50   
0.22    0.30   
0.38    0.74   
0.45    0.75   
0.46    0.69   
-0.53   -0.55  
0.62    0.52   
0.79    0.74   
0.48    0.61   
0.03    0.47   
0.26    0.35   
0.20    0.40   
0.25    0.30   
0.29    0.32   
0.40    0.78   
0.35    0.56   
0.20    0.47   
0.15    0.23   
0.45    0.29   
0.26    0.30   
0.54    0.47   
-0.09   0.08   
0.26    0.07   
0.33    0.37   
0.23    0.59   
