Original  Reconstructed
-0.35   -0.07  
0.03    0.18   
-0.20   0.01   
-0.18   -0.11  
-0.66   -0.25  
-0.81   -0.39  
-0.46   -0.74  
-1.27   -1.25  
0.03    -0.95  
-0.10   -0.19  
-0.03   -0.48  
-0.39   -0.15  
-0.53   -0.60  
-0.42   -0.95  
-1.41   -1.45  
-2.44   -2.06  
-0.87   -0.67  
0.03    0.39   
-0.97   -0.70  
-0.58   -0.48  
-0.37   -0.05  
0.05    -0.09  
-0.06   0.15   
0.45    0.81   
0.39    0.32   
-1.15   -0.96  
0.90    0.68   
0.52    0.33   
0.27    0.63   
0.44    0.57   
0.22    0.24   
0.38    0.57   
0.45    0.78   
0.46    0.68   
-0.53   -0.51  
0.62    0.46   
0.79    0.62   
0.48    0.72   
0.03    0.47   
0.26    0.23   
0.20    0.30   
0.25    0.41   
0.29    0.48   
0.40    0.97   
0.35    0.44   
0.20    0.39   
0.15    0.27   
0.45    0.38   
0.26    0.30   
0.54    0.51   
-0.09   0.09   
0.26    -0.06  
0.33    0.33   
0.23    0.57   
