Original  Reconstructed
-0.35   -0.05  
0.03    0.12   
-0.20   -0.16  
-0.18   -0.20  
-0.66   -0.33  
-0.81   -0.51  
-0.46   -0.75  
-1.27   -1.22  
0.03    -0.86  
-0.10   -0.32  
-0.03   -0.47  
-0.39   -0.22  
-0.53   -0.57  
-0.42   -0.96  
-1.41   -1.26  
-2.44   -2.07  
-0.87   -0.50  
0.03    0.32   
-0.97   -0.84  
-0.58   -0.61  
-0.37   -0.06  
0.05    0.04   
-0.06   0.24   
0.45    0.82   
0.39    0.30   
-1.15   -1.16  
0.90    0.71   
0.52    0.38   
0.27    0.69   
0.44    0.53   
0.22    0.39   
0.38    0.63   
0.45    0.77   
0.46    0.69   
-0.53   -0.59  
0.62    0.55   
0.79    0.83   
0.48    0.73   
0.03    0.37   
0.26    0.36   
0.20    0.30   
0.25    0.26   
0.29    0.39   
0.40    0.75   
0.35    0.54   
0.20    0.43   
0.15    0.21   
0.45    0.26   
0.26    0.27   
0.54    0.52   
-0.09   0.24   
0.26    -0.08  
0.33    0.38   
0.23    0.64   
