Original  Reconstructed
-0.35   0.10   
0.03    0.24   
-0.20   -0.03  
-0.18   -0.21  
-0.66   -0.28  
-0.81   -0.48  
-0.46   -0.61  
-1.27   -1.09  
0.03    -0.88  
-0.10   -0.17  
-0.03   -0.53  
-0.39   -0.23  
-0.53   -0.48  
-0.42   -0.95  
-1.41   -1.56  
-2.44   -1.88  
-0.87   -0.68  
0.03    0.28   
-0.97   -0.70  
-0.58   -0.58  
-0.37   0.02   
0.05    0.01   
-0.06   0.12   
0.45    0.86   
0.39    0.30   
-1.15   -1.04  
0.90    0.73   
0.52    0.35   
0.27    0.74   
0.44    0.66   
0.22    0.25   
0.38    0.57   
0.45    1.00   
0.46    0.66   
-0.53   -0.55  
0.62    0.68   
0.79    0.76   
0.48    0.60   
0.03    0.45   
0.26    0.27   
0.20    0.46   
0.25    0.20   
0.29    0.50   
0.40    0.88   
0.35    0.45   
0.20    0.31   
0.15    0.26   
0.45    0.32   
0.26    0.35   
0.54    0.48   
-0.09   0.03   
0.26    0.04   
0.33    0.38   
0.23    0.49   
