Original  Reconstructed
-0.35   0.09   
0.03    0.12   
-0.20   0.00   
-0.18   -0.10  
-0.66   -0.17  
-0.81   -0.43  
-0.46   -0.64  
-1.27   -0.87  
0.03    -0.94  
-0.10   -0.21  
-0.03   -0.43  
-0.39   -0.39  
-0.53   -0.66  
-0.42   -1.07  
-1.41   -1.46  
-2.44   -1.97  
-0.87   -0.80  
0.03    0.42   
-0.97   -0.53  
-0.58   -0.39  
-0.37   0.05   
0.05    -0.12  
-0.06   -0.00  
0.45    0.66   
0.39    0.09   
-1.15   -0.98  
0.90    0.91   
0.52    0.17   
0.27    0.62   
0.44    0.77   
0.22    0.48   
0.38    0.68   
0.45    0.97   
0.46    0.68   
-0.53   -0.34  
0.62    0.92   
0.79    0.54   
0.48    0.54   
0.03    0.43   
0.26    0.26   
0.20    0.40   
0.25    0.25   
0.29    0.53   
0.40    0.69   
0.35    0.34   
0.20    0.24   
0.15    0.22   
0.45    0.36   
0.26    0.31   
0.54    0.60   
-0.09   0.04   
0.26    0.16   
0.33    0.41   
0.23    0.43   
