Original  Reconstructed
-0.35   -0.15  
0.03    -0.07  
-0.20   -0.12  
-0.18   -0.31  
-0.66   -0.41  
-0.81   -0.37  
-0.46   -0.34  
-1.27   -0.68  
0.03    -1.01  
-0.10   -0.45  
-0.03   -0.34  
-0.39   -0.50  
-0.53   -0.86  
-0.42   -1.04  
-1.41   -1.31  
-2.44   -1.53  
-0.87   -0.95  
0.03    0.20   
-0.97   -0.25  
-0.58   -0.32  
-0.37   -0.52  
0.05    -0.56  
-0.06   -0.27  
0.45    0.55   
0.39    0.14   
-1.15   -1.33  
0.90    0.45   
0.52    0.40   
0.27    0.57   
0.44    0.81   
0.22    0.46   
0.38    0.69   
0.45    0.62   
0.46    0.28   
-0.53   0.67   
0.62    0.79   
0.79    0.53   
0.48    0.63   
0.03    0.44   
0.26    0.55   
0.20    0.52   
0.25    0.27   
0.29    0.43   
0.40    0.72   
0.35    0.33   
0.20    0.44   
0.15    0.37   
0.45    0.20   
0.26    0.43   
0.54    0.48   
-0.09   0.44   
0.26    0.37   
0.33    0.42   
0.23    0.45   
