Original  Reconstructed
-0.35   0.01   
0.03    0.11   
-0.20   -0.10  
-0.18   -0.17  
-0.66   -0.32  
-0.81   -0.36  
-0.46   -0.66  
-1.27   -1.06  
0.03    -0.85  
-0.10   -0.06  
-0.03   -0.48  
-0.39   -0.24  
-0.53   -0.45  
-0.42   -0.88  
-1.41   -1.36  
-2.44   -1.83  
-0.87   -0.58  
0.03    0.34   
-0.97   -0.62  
-0.58   -0.50  
-0.37   -0.09  
0.05    0.03   
-0.06   0.10   
0.45    0.70   
0.39    0.18   
-1.15   -1.02  
0.90    0.62   
0.52    0.32   
0.27    0.69   
0.44    0.71   
0.22    0.36   
0.38    0.55   
0.45    0.92   
0.46    0.49   
-0.53   -0.54  
0.62    0.67   
0.79    0.69   
0.48    0.45   
0.03    0.43   
0.26    0.22   
0.20    0.29   
0.25    0.28   
0.29    0.53   
0.40    0.62   
0.35    0.42   
0.20    0.42   
0.15    0.20   
0.45    0.29   
0.26    0.25   
0.54    0.32   
-0.09   0.25   
0.26    0.20   
0.33    0.40   
0.23    0.50   
