Original  Reconstructed
-0.35   -0.05  
0.03    0.08   
-0.20   -0.05  
-0.18   -0.10  
-0.66   -0.34  
-0.81   -0.45  
-0.46   -0.71  
-1.27   -1.11  
0.03    -0.80  
-0.10   -0.30  
-0.03   -0.59  
-0.39   -0.16  
-0.53   -0.54  
-0.42   -1.00  
-1.41   -1.28  
-2.44   -1.95  
-0.87   -0.63  
0.03    0.26   
-0.97   -0.88  
-0.58   -0.55  
-0.37   0.00   
0.05    0.13   
-0.06   0.20   
0.45    0.79   
0.39    0.35   
-1.15   -1.09  
0.90    0.80   
0.52    0.32   
0.27    0.58   
0.44    0.45   
0.22    0.28   
0.38    0.68   
0.45    0.82   
0.46    0.63   
-0.53   -0.49  
0.62    0.52   
0.79    0.76   
0.48    0.70   
0.03    0.29   
0.26    0.23   
0.20    0.34   
0.25    0.24   
0.29    0.39   
0.40    0.83   
0.35    0.57   
0.20    0.39   
0.15    0.20   
0.45    0.31   
0.26    0.24   
0.54    0.53   
-0.09   0.25   
0.26    -0.06  
0.33    0.46   
0.23    0.58   
